Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","CMR","Cameroon","African Region",71,38,53.521126761
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","CMR","Cameroon","African Region",64,51,79.6875
"Bloodstream","Klebsiella pneumoniae","Ertapenem","CMR","Cameroon","African Region",52,19,36.538461538
"Bloodstream","Klebsiella pneumoniae","Imipenem","CMR","Cameroon","African Region",71,7,9.85915493
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","CMR","Cameroon","African Region",27,9,33.333333333
"Bloodstream","Klebsiella pneumoniae","Meropenem","CMR","Cameroon","African Region",29,6,20.689655172
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","COD","Democratic Republic of the Congo","African Region",164,148,90.243902439
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","COD","Democratic Republic of the Congo","African Region",164,148,90.243902439
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","COD","Democratic Republic of the Congo","African Region",153,130,84.967320261
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","COD","Democratic Republic of the Congo","African Region",151,139,92.052980132
"Bloodstream","Klebsiella pneumoniae","Imipenem","COD","Democratic Republic of the Congo","African Region",89,14,15.730337079
"Bloodstream","Klebsiella pneumoniae","Cefepime","COL","Colombia","Region of the Americas",10331,3229,31.255444778
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","COL","Colombia","Region of the Americas",1018,394,38.703339882
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","COL","Colombia","Region of the Americas",10139,3270,32.251701351
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","COL","Colombia","Region of the Americas",7184,2657,36.984966592
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","COL","Colombia","Region of the Americas",10316,3412,33.074835207
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","COL","Colombia","Region of the Americas",4849,1608,33.161476593
"Bloodstream","Klebsiella pneumoniae","Colistin","COL","Colombia","Region of the Americas",1688,66,3.909952607
"Bloodstream","Klebsiella pneumoniae","Doripenem","COL","Colombia","Region of the Americas",68,10,14.705882353
"Bloodstream","Klebsiella pneumoniae","Ertapenem","COL","Colombia","Region of the Americas",9917,2315,23.343753151
"Bloodstream","Klebsiella pneumoniae","Imipenem","COL","Colombia","Region of the Americas",9066,2154,23.759099934
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","COL","Colombia","Region of the Americas",3007,648,21.549717326
"Bloodstream","Klebsiella pneumoniae","Meropenem","COL","Colombia","Region of the Americas",10328,2312,22.385747483
"Bloodstream","Klebsiella pneumoniae","Cefepime","CYP","Cyprus","European Region",82,44,53.658536585
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","CYP","Cyprus","European Region",96,52,54.166666667
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","CYP","Cyprus","European Region",46,35,76.086956522
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","CYP","Cyprus","European Region",78,46,58.974358974
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","CYP","Cyprus","European Region",195,109,55.897435897
"Bloodstream","Klebsiella pneumoniae","Colistin","CYP","Cyprus","European Region",15,4,26.666666667
"Bloodstream","Klebsiella pneumoniae","Imipenem","CYP","Cyprus","European Region",163,46,28.220858896
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","CYP","Cyprus","European Region",25,12,48
"Bloodstream","Klebsiella pneumoniae","Meropenem","CYP","Cyprus","European Region",57,28,49.122807018
"Bloodstream","Klebsiella pneumoniae","Cefepime","CZE","Czechia","European Region",697,283,40.602582496
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","CZE","Czechia","European Region",615,270,43.902439024
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","CZE","Czechia","European Region",1051,502,47.764034253
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","CZE","Czechia","European Region",1666,632,37.93517407
"Bloodstream","Klebsiella pneumoniae","Colistin","CZE","Czechia","European Region",678,22,3.244837758
"Bloodstream","Klebsiella pneumoniae","Meropenem","CZE","Czechia","European Region",1370,20,1.459854015
"Bloodstream","Klebsiella pneumoniae","Cefepime","DEU","Germany","European Region",897,79,8.807134894
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","DEU","Germany","European Region",3111,309,9.932497589
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","DEU","Germany","European Region",3208,313,9.756857855
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","DEU","Germany","European Region",1572,154,9.796437659
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","DEU","Germany","European Region",6353,703,11.065638281
"Bloodstream","Klebsiella pneumoniae","Ertapenem","DEU","Germany","European Region",5002,76,1.519392243
"Bloodstream","Klebsiella pneumoniae","Imipenem","DEU","Germany","European Region",3812,44,1.154249738
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","DEU","Germany","European Region",1516,196,12.928759894
"Bloodstream","Klebsiella pneumoniae","Meropenem","DEU","Germany","European Region",4080,40,0.980392157
"Bloodstream","Klebsiella pneumoniae","Cefepime","DNK","Denmark","European Region",145,9,6.206896552
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","DNK","Denmark","European Region",1107,63,5.691056911
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","DNK","Denmark","European Region",152,9,5.921052632
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","DNK","Denmark","European Region",1396,99,7.091690544
"Bloodstream","Klebsiella pneumoniae","Ertapenem","DNK","Denmark","European Region",152,0,0
"Bloodstream","Klebsiella pneumoniae","Meropenem","DNK","Denmark","European Region",1326,5,0.377073906
"Bloodstream","Klebsiella pneumoniae","Cefepime","DZA","Algeria","African Region",66,43,65.151515152
